,HTTPClient,HTTPClient,0.3-3,2005-09-21 03:35    733741,,https://repo1.maven.org/maven2/HTTPClient/HTTPClient/0.3-3/HTTPClient-0.3-3.jar
,abbot,costello,1.4.0,2015-09-24 09:24    902675,,https://repo1.maven.org/maven2/abbot/costello/1.4.0/costello-1.4.0.jar
,abbot,abbot,1.4.0,2015-09-22 16:03    687192,,https://repo1.maven.org/maven2/abbot/abbot/1.4.0/abbot-1.4.0.jar
,abbot,abbot,0.13.0,2005-09-20 05:44    779426,,https://repo1.maven.org/maven2/abbot/abbot/0.13.0/abbot-0.13.0.jar
,abbot,abbot,0.12.3,2005-09-20 05:44    689791,,https://repo1.maven.org/maven2/abbot/abbot/0.12.3/abbot-0.12.3.jar
,academy.alex,custommatcher,1.0,2018-05-31 18:57      7773,,https://repo1.maven.org/maven2/academy/alex/custommatcher/1.0/custommatcher-1.0.jar
,acegisecurity,acegi-security-tiger,0.9.0,2005-11-11 09:36      9688,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-tiger/0.9.0/acegi-security-tiger-0.9.0.jar
,acegisecurity,acegi-security-taglib,0.6.1,2005-09-20 05:44      5793,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-taglib/0.6.1/acegi-security-taglib-0.6.1.jar
,acegisecurity,acegi-security-taglib,0.51,2005-09-20 05:44      3393,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-taglib/0.51/acegi-security-taglib-0.51.jar
,acegisecurity,acegi-security-resin-lib,0.6.1,2005-09-20 05:44    203069,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-resin-lib/0.6.1/acegi-security-resin-lib-0.6.1.jar
,acegisecurity,acegi-security-resin,0.9.0,2005-11-11 09:36     10815,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-resin/0.9.0/acegi-security-resin-0.9.0.jar
,acegisecurity,acegi-security-resin,0.8.3,2005-09-25 04:01     10821,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-resin/0.8.3/acegi-security-resin-0.8.3.jar
,acegisecurity,acegi-security-resin,0.8.2,2005-09-20 05:44     10826,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-resin/0.8.2/acegi-security-resin-0.8.2.jar
,acegisecurity,acegi-security-resin,0.8.1.1,2005-09-25 04:01     10824,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-resin/0.8.1.1/acegi-security-resin-0.8.1.1.jar
,acegisecurity,acegi-security-resin,0.8.1,2005-09-20 05:44     10822,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-resin/0.8.1/acegi-security-resin-0.8.1.jar
,acegisecurity,acegi-security-resin,0.8.0,2005-09-20 05:44     10823,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-resin/0.8.0/acegi-security-resin-0.8.0.jar
,acegisecurity,acegi-security-resin,0.7.1,2005-09-25 04:01     10821,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-resin/0.7.1/acegi-security-resin-0.7.1.jar
,acegisecurity,acegi-security-resin,0.7.0,2005-09-20 05:44     10824,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-resin/0.7.0/acegi-security-resin-0.7.0.jar
,acegisecurity,acegi-security-jetty-ext,0.6.1,2005-09-20 05:44    203774,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-jetty-ext/0.6.1/acegi-security-jetty-ext-0.6.1.jar
,acegisecurity,acegi-security-jetty,0.9.0,2005-11-11 09:36     11534,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-jetty/0.9.0/acegi-security-jetty-0.9.0.jar
,acegisecurity,acegi-security-jetty,0.8.3,2005-09-25 04:01     11543,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-jetty/0.8.3/acegi-security-jetty-0.8.3.jar
,acegisecurity,acegi-security-jetty,0.8.2,2005-09-20 05:44     11546,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-jetty/0.8.2/acegi-security-jetty-0.8.2.jar
,acegisecurity,acegi-security-jetty,0.8.1.1,2005-09-25 04:01     11544,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-jetty/0.8.1.1/acegi-security-jetty-0.8.1.1.jar
,acegisecurity,acegi-security-jetty,0.8.1,2005-09-20 05:44     11541,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-jetty/0.8.1/acegi-security-jetty-0.8.1.jar
,acegisecurity,acegi-security-jetty,0.8.0,2005-09-20 05:44     11545,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-jetty/0.8.0/acegi-security-jetty-0.8.0.jar
,acegisecurity,acegi-security-jetty,0.7.1,2005-09-25 04:01     11545,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-jetty/0.7.1/acegi-security-jetty-0.7.1.jar
,acegisecurity,acegi-security-jetty,0.7.0,2005-09-20 05:44     11544,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-jetty/0.7.0/acegi-security-jetty-0.7.0.jar
,acegisecurity,acegi-security-jboss-lib,0.6.1,2005-09-20 05:44    200246,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-jboss-lib/0.6.1/acegi-security-jboss-lib-0.6.1.jar
,acegisecurity,acegi-security-jboss,0.9.0,2005-11-11 09:36     15130,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-jboss/0.9.0/acegi-security-jboss-0.9.0.jar
,acegisecurity,acegi-security-jboss,0.8.3,2005-09-25 04:01     15185,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-jboss/0.8.3/acegi-security-jboss-0.8.3.jar
,acegisecurity,acegi-security-jboss,0.8.2,2005-09-20 05:44     15185,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-jboss/0.8.2/acegi-security-jboss-0.8.2.jar
,acegisecurity,acegi-security-jboss,0.8.1.1,2005-09-25 04:01     15188,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-jboss/0.8.1.1/acegi-security-jboss-0.8.1.1.jar
,acegisecurity,acegi-security-jboss,0.8.1,2005-09-20 05:44     15182,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-jboss/0.8.1/acegi-security-jboss-0.8.1.jar
,acegisecurity,acegi-security-jboss,0.8.0,2005-09-20 05:44     15185,,https://repo1.maven.org/maven2/acegisecurity/acegi-security-jboss/0.8.0/acegi-security-jboss-0.8.0.jar
